stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,1,Meridian Mall,MERIDIAN MALL LOT,42.724535,-84.420488,,,,,,0
4,4,WBD Frandor Center,FRANDOR ACCESS RD & FRANDOR CENTER,42.737159,-84.506217,,,,,,0
7,7,CATA Trans Center,S GRAND AVE & E LENAWEE ST,42.729345,-84.551054,,,,,,0
9,9,EBD Frandor Center,FRANDOR ACCESS RD & FRANDOR CENTER,42.737104,-84.506271,,,,,,0
15,15,EBD Burneway before Waverly,BURNEWAY DR,42.686563,-84.603807,,,,,,0
22,22,Lansing Mall,NEW MALL DR,42.743502,-84.625819,,,,,,0
23,23,EBD Saginaw past Waverly,W SAGINAW ST & W THOMAS L PKWY,42.740936,-84.601284,,,,,,0
33,33,WBD Davlind before Aurelius,DAVLIND DR & AURELIUS RD,42.627017,-84.522224,,,,,,0
36,36,NBD Cedar before Jolly,S CEDAR ST,42.681355,-84.547934,,,,,,0
41,41,WBD Holt past Aurelius,W HOLT RD & AURELIUS RD,42.64026,-84.52392,,,,,,0
42,42,WindMill Mobile Park,WINDMILL BLVD & REMBRANT RD,42.624049,-84.547137,,,,,,0
48,48,EBD BeauJardin past Dunckel,BEAU JARDIN DR,42.684479,-84.51287,,,,,,0
53,53,SBD Penn past Mt Hope,S PENNSYLVANIA AVE & MCKIM AVE,42.71157,-84.53821,,,,,,0
54,54,NBD Penn past Mt Hope,S PENNSYLVANIA AVE & E MOUNT HOPE AVE,42.71228,-84.53803,,,,,,0
67,67,EBD St Joseph before Waverly (store),VALUE CITY LOT,42.726212,-84.60488,,,,,,0
79,79,SBD Turner past North,TURNER ST & E NORTH ST,42.751304,-84.549627,,,,,,0
80,80,WBD North past Turner,E NORTH ST & TURNER ST,42.751697,-84.549983,,,,,,0
81,81,WBD Delta River past N Grand Riv.,DELTA RIVER DR & N GRAND RIVER AVE,42.763338,-84.580342,,,,,,0
82,82,Capital Regional Airport Auth. Term,W CIRCLE DR & E CIRCLE DR,42.774685,-84.589509,,,,,,0
87,87,WBD Shaw before Farm Lane,,42.726122,-84.47715,,,,,,0
96,96,EBD Haslett past Hagadorn,HASLETT RD & GREENCREST AVE,42.746849,-84.461769,,,,,,0
118,118,NBD Main before Grand River,MAIN ST S & CHESTNUT ST E,42.666473,-84.174003,,,,,,0
133,133,Mason Meijer,MASON MEIJER LOT & E CHERRY ST,42.565736,-84.44326,,,,,,0
159,159,CATA Offices,TRANTER ST & CATA HEADQUARTERS,42.688034,-84.534484,,,,,,0
160,160,Community Mental Health,MENTAL HEALTH LOT & S CEDAR ST,42.681801,-84.541191,,,,,,0
161,161,Family Ind. Agency,UNNAMED ST & S CEDAR ST,42.681346,-84.545672,,,,,,0
168,168,SBD Harrison before Michigan,117 N HARRISON RD & ELM ST,42.734189,-84.49361,,,,,,0
169,169,NBD Harrison past Michigan,N HARRISON RD & S HARRISON RD,42.73452,-84.493449,,,,,,0
175,175,MSU Union,W CIRCLE DR,42.73358,-84.48242,,,,,,0
177,177,Brody Complex,S HARRISON RD & BRODY RD S,42.731747,-84.494031,,,,,,0
178,178,Commuter Lot 89-4,COMMUTER LOT 89 & MSU MEDICAL CLINIC,42.712988,-84.479531,,,,,,0
191,191,University Village,UNIVERSITY VLG & UNIVERSITY VILLAGE ENTRANCE,42.727464,-84.498459,,,,,,0
195,195,EBD Mt Hope past Hagadorn,E MOUNT HOPE RD & JANICE LEE DR,42.711742,-84.458975,,,,,,0
978,978,EBD Saginaw past MLK,W SAGINAW ST & N MARTIN LUTHER KING JR BLVD,42.740901,-84.566539,,,,,,0
1144,1144,NBD Abbot past Saginaw,1400 ABBOT RD & E SAGINAW ST,42.747881,-84.483637,,,,,,0
1596,1596,NBD Grand past Hillsdale,S GRAND AVE & E HILLSDALE ST,42.727501,-84.550638,,,,,,0
1599,1599,NBD Grand Ave before E Allegan St,S GRAND AVE & E WASHTENAW ST,42.732092,-84.550598,,,,,,0
1600,1600,NBD Grand Ave past E Michigan Ave,N GRAND AVE & E MICHIGAN AVE,42.734257,-84.55056,,,,,,0
1601,1601,NBD Grand before Shiawassee St,N GRAND AVE & E IONIA ST,42.736906,-84.550546,,,,,,0
1603,1603,NBD Grand past Shiawassee St,N GRAND AVE & Shiawassee,42.737649,-84.550533,,,,,,0
1604,1604,NBD Grand past Saginaw St,N GRAND AVE,42.741344,-84.550518,,,,,,0
1609,1609,SBD Capitol past Saginaw St,N CAPITOL AVE & W LAPEER ST,42.740406,-84.553885,,,,,,0
1610,1610,SBD Capitol past Genessee St,N CAPITOL AVE & W SHIAWASSEE ST,42.738375,-84.553898,,,,,,0
1614,1614,SBD Capitol past Kalamazoo St,S CAPITOL AVE & W LENAWEE ST,42.729829,-84.55399,,,,,,0
1615,1615,SBD Capitol past Hillsdale,S CAPITOL AVE & W SAINT JOSEPH ST,42.727243,-84.554003,,,,,,0
1618,1618,NBD Walnut past Shiawassee St,N WALNUT ST & W GENESEE ST,42.73745,-84.55689,,,,,,0
1619,1619,SBD Pine past Genessee St,N PINE ST & Genesee,42.738403,-84.560041,,,,,,0
1622,1622,SBD Pine St past Ottawa,N PINE ST & W OTTAWA ST,42.734439,-84.560129,,,,,,0
1624,1624,EBD Shiawassee past Cedar St,E SHIAWASSEE ST & N CEDAR ST,42.737164,-84.545717,,,,,,0
1625,1625,WBD Shiawassee St at Washington Ave,,42.73747,-84.55213,,,,,,0
1626,1626,WBD Shiawassee before Seymour St,W SHIAWASSEE ST & N CAPITOL AVE,42.737355,-84.555078,,,,,,0
1627,1627,WBD Shiawassee past Walnut,W SHIAWASSEE ST & N WALNUT ST,42.737373,-84.557326,,,,,,0
1642,1642,WBD Kalamazoo past S Cedar St,E KALAMAZOO ST & S CEDAR ST,42.730041,-84.5463,,,,,,0
1644,1644,WBD Kalamazoo before Townsend St,W KALAMAZOO ST & S CAPITOL AVE,42.730089,-84.554739,,,,,,0
1653,1653,EBD Gr. River past Abbot Rd,GRAND RIVER AVE & ABBOT ROAD,42.734914,-84.4834,,,,,,0
1654,1654,EBD Gr. River Ave past Division St,GRAND RIVER AVE & BERKEY LOT ENTRANCE,42.733559,-84.47839,,,,,,0
1655,1655,EBD Gr. River Ave past Farm Lane,GRAND RIVER AVE & COLLINGWOOD DR,42.732571,-84.47467,,,,,,0
1656,1656,WBD Gr. River past Collingwood,621 E GRAND RIVER AVE & COLLINGWOOD DR,42.73308,-84.47556,,,,,,0
